127.0.0.1 - - [26/Feb/2026:11:35:21 +0000] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:35:38 +0000] "GET /GestionBibliotheque/ HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:35:38 +0000] "GET /favicon.ico HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:35:51 +0000] "GET /location-app/index HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:35:59 +0000] "GET /ecommerc/index HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:20 +0000] "GET /ecommerce-electronique/WEB-INF/client/confirmation-commande.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:46 +0000] "GET /ecommerce-electronique/ HTTP/1.1" 200 73068
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/hububsc.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/cableusbc.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/chargeurgan.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/rogzephyrus.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/dellxps15.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/ipadairm2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/airpodspro2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/iphone15pro.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/jblcharge5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/macbookairm3.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxys24.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:47 +0000] "GET /ecommerce-electronique/resources/images/produits//images/galaxytabs9.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:53 +0000] "GET /ecommerce-electronique/resources/images/produits//images/sonywh1000xm5.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:53 +0000] "GET /ecommerce-electronique/resources/images/produits//images/xiaomi14.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:36:59 +0000] "GET /ecommerce-electronique/login HTTP/1.1" 200 9517
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:37:13 +0000] "POST /ecommerce-electronique/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:37:13 +0000] "GET /ecommerce-electronique/admin HTTP/1.1" 200 14924
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:37:32 +0000] "GET /ecommerce-electronique/admin/categories HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:05 +0000] "GET /ecommerce-electronique/admin/commandes HTTP/1.1" 200 12795
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:17 +0000] "GET /ecommerce-electronique/admin/commandes?statut=EN_COURS HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:18 +0000] "GET /ecommerce-electronique/admin/commandes?statut=VALIDEE HTTP/1.1" 200 12795
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:18 +0000] "GET /ecommerce-electronique/admin/commandes?statut=ANNULEE HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [26/Feb/2026:11:38:20 +0000] "GET /ecommerce-electronique/admin/commandes HTTP/1.1" 200 12795
